poem
"岂是疏慵僻爱山,且图余事不相关.休夸凤诏千年贵,难敌禅扉半日闲.透水戏鱼随浪没,投巢孤鹤带云还.自然得到无心地,寂寂虚堂一景闲."
"林下安身别有方,营营何太路岐忙.侯门梦过光阴促,禅室玄栖气味长.引水灌花春日媚,移松夹道暑天凉.衔恩略报元功处,一炷晨风散后香."
"万般惟道最堪依,一瞬荣枯万古悲.强笑低颜何忽忽,忘机绝虑自怡怡.潜龙终要投深浦,巢鸟应须占健枝.名利门中难立足,隠藏云水更何之."
"退迹何人继昔贤,凡途终是事谋先.只知竞逐浮云富,谁解惊嗟逝水年.寒影半疏霜后树,秋声千点雨中禅.千般不更经营得,一榻无余任自然."
"野景陶情皆得意,凡夫举目尽堪愁.秦川几度埋番骨,棘路还曾耸玉楼.幻体不知波上沫,狂心须认镜中头.浮生役役贪荣者,求到真空卒未休."
"一生占断白云乡,适意孤高志自强.报晓音声栖鸟语,漏春消息早梅香.吟经徐傍芙蕖岸,得偈闲书薜荔墙.大道最亲无达者,苦携瓶锡叩禅堂."
"养性摅情不记年,免寻云水更参禅.有心用处还应错,无意看时却宛然.析法尚嫌灰断果,烧丹堪愍地行仙.欲知此理谁人会,水自朝东月自圆."
"世途从此免相关,万虑潜消野思闲.庵树逼春花自吐,岩巢欲暮鸟空还.门前雾闭疑无路,槛外云开忽有山.宴坐石岩樵径绝,姓名应不到人闲."
"独行独坐任天然,幽隠难逢世网牵.一志直教齐大道,万般总是涉因缘.水磨涧石平如镜,春引岩藤直似弦.虚幻已知休更续,蹄轮应不到山前."
"散诞疏狂得自然,免教拘迫事相牵.潜龙不离滔滔水,孤鹤唯宜远远天.透室寒光松槛月,逼人凉气石渠泉.非吾独了西来意,竹祖桐孙尽入玄."
"绿柳堤边春色多,数树重重袅翠萝.红白花枝争鬭发,晴阴天气半相和.中山谩醉千壶酒,易水徒悲一曲歌.尘世无凭唯道外,荣枯瞬息尽消磨."
"清平大业行皆奢,岂独尧时听所加.丰俭由人天不远,安危在智道非赊.关津防害翻为害,法令除邪却长邪.争似无言敷密化,既能成国又成家."
"焦翼枯鳞成底事,分明可验莫愁哉.君恩只可量功受,世利应须任运来.岂信败从成处得,谁知荣是辱边媒.但看越分殊求者,唯向身中积祸胎."
